Latitude,Longitude,Elevation
118.7005359568,31.8769090165,7.8649846635802
118.7005359568,31.8773610587,10.024468062185719
118.7005359568,31.8778131009,13.954696648488758
118.7005359568,31.878265143,19.47096318080081
118.7005359568,31.8787171852,23.231093189653492
118.7005359568,31.8791692274,25.379599343664555
118.7005359568,31.8796212696,25.83014245501181
118.7005359568,31.8800733118,26.162226938981522
118.7005359568,31.880525354,26.31452024396923
118.7005359568,31.8809773962,26.255226233028484
118.7005359568,31.8814294384,25.992584125486175
118.7005359568,31.8818814806,25.367341205623074
118.7005359568,31.8823335227,23.83692404109659
118.7005359568,31.8827855649,20.457145483241092
118.7005359568,31.8832376071,15.719755518067965
118.7005359568,31.8836896493,10.899100275807236
118.7005359568,31.8841416915,8.044619993137708
118.7005359568,31.8845937337,6.892440673620511
118.7005359568,31.8850457759,6.767754903465657
118.7005359568,31.8854978181,6.600987772442238
118.7005359568,31.8859498603,6.381362126528261
118.7005359568,31.8864019024,6.113300193607646
118.7005359568,31.8868539446,5.8134741510305785
118.7005359568,31.8873059868,5.505678002407233
118.7005359568,31.887758029,5.216036639403927
118.7005359568,31.8882100712,4.969223762183784
118.7005359568,31.8886621134,4.784839669194051
118.7005359568,31.8891141556,4.673600220467417
118.7005359568,31.8895661978,4.634396811845047
118.7005359568,31.89001824,4.654199312266666
118.7005359568,31.8904702821,4.711784819014374
118.7005359568,31.8909223243,4.7842961507529544
118.7005359568,31.8913743665,4.8539649762824855
118.7005359568,31.8918264087,4.91227511901079
118.7005359568,31.8922784509,4.959996488529811
118.7005359568,31.8927304931,5.003237042707235
118.7005359568,31.8931825353,5.047286947748107
118.7005359568,31.8936345775,5.09115531232135
118.7005359568,31.8940866197,5.125704760651335
118.7005359568,31.8945386618,5.136551914014018
118.7005359568,31.894990704,5.110265803518873
118.7005359568,31.8954427462,5.0404565235028915
118.7005359568,31.8958947884,4.930698238411624
118.7005359568,31.8963468306,4.793286884702503
118.7005359568,31.8967988728,4.645081984647309
118.7005359568,31.897250915,4.502612332502559
118.7005359568,31.8977029572,4.378299086444262
118.7005359568,31.8981549994,4.278717383040998
118.7005359568,31.8986070415,4.204929365980679
118.7005359568,31.8990590837,4.154257225657107
118.7005359568,31.8995111259,4.122524147179393
118.7005359568,31.8999631681,4.105873627507682
118.7005359568,31.9004152103,4.101704291004053
118.7005359568,31.9008672525,4.108777297243609
118.7005359568,31.9013192947,4.126915885982605
118.7005359568,31.9017713369,4.156835138972477
118.7005359568,31.9022233791,4.2004736592229746
118.7005359568,31.9026754212,4.261706577736566
118.7005359568,31.9031274634,4.346665575153713
118.7005359568,31.9035795056,4.462603425363105
118.7005359568,31.9040315478,4.61484490414131
118.7005359568,31.90448359,4.802752101439885
118.7005359568,31.9049356322,5.016797648833396
118.7005359568,31.9053876744,5.238781541677753
118.7005359568,31.9058397166,5.445806723923683
118.7005359568,31.9062917588,5.616836162384709
118.7005359568,31.9067438009,5.739480516672027
118.7005359568,31.9071958431,5.8145056708575265
118.7005359568,31.9076478853,5.8562416526368155
118.7005359568,31.9080999275,5.888457121596426
118.7005359568,31.9085519697,5.937098783423246
118.7005359568,31.9090040119,6.022710214050382
118.7005359568,31.9094560541,6.155465735304457
118.7005359568,31.9099080963,6.334292211530304
